file,measure,spine,old,new,method,reference
joplin_figleaf,=51,3,4ryy,4gg] ee-] cc],printed_score,"Strain reprise, byte-identical to =17; same correction. Source line 470"
humdrum_chopin_first_editions_048-1-BH-002,=130,1,12ryy,2D,printed_score,"The low-D voice of bar 130: every rest around the D is transcribed yy-invisible (12ryy 6.D 6ryy 2ryy), the transcriber's own record that the plate prints no rests in this voice — it prints one sustained D. A plain half note cannot start on a triplet subdivision, so the printed note sits on the downbeat; the dotted-triplet reading pinned it to the arpeggio's shared D notehead instead. Instructive editions print the downbeat half note. Source line 1973"
humdrum_chopin_first_editions_048-1-BH-002,=130,1,6.D,.,printed_score,"Absorbed into the downbeat half note; see the 12ryy row. Source line 1974"
humdrum_chopin_first_editions_048-1-BH-002,=130,1,6ryy,.,printed_score,"Absorbed into the downbeat half note; see the 12ryy row. Source line 1979"
humdrum_chopin_first_editions_058-1a-MEIj-001,=147,1,4.G\ 4.C#\,4.G\ 4.C#\ 4.E\,printed_score,"The engraver glued stems of different values for layout, and the transcription read the glued shapes as extra voices. The dotted-quarter chord is three notes G+C#+E; the E was split off as a phantom dotted-quarter voice. Read from the score image. Source line 2659"
humdrum_chopin_first_editions_058-1a-MEIj-001,=147,1,2r,8F#\,printed_score,The engraver closes this voice directly on an eighth F#3 after the chord (its stem glued with the run's sixteenth); the transcription displaced it into a phantom voice a half beat early. Source line 2667
humdrum_chopin_first_editions_058-1a-MEIj-001,=147,line,.	.	.	16c#	.	.	.	.,4.r	.	.	16c#	.	.	.	.,printed_score,The voice's closing rest after the eighth F#3. Whole-line address because a null token alone is ambiguous within the bar. Source line 2669
humdrum_chopin_first_editions_058-1a-MEIj-001,=147,5,4.E<\,4.ryy,printed_score,"Phantom voice: this E is the chord's third note (see the spine-1 row); every rest around it is yy-invisible, the transcriber's own record that the plate prints no such voice. Source line 2659"
humdrum_chopin_first_editions_058-1a-MEIj-001,=147,6,8B<\,8ryy,printed_score,Phantom note: the plate's B here is the run's own sixteenth (stem glued); no separate eighth exists. Source line 2660
humdrum_chopin_first_editions_058-1a-MEIj-001,=147,6,8F#<\,8ryy,printed_score,The eighth F#3 belongs to the spine-1 voice at beat 3 (see the 2r row); here it is a phantom half a beat early. Source line 2665
humdrum_chopin_first_editions_041-1-BH-001,=52,1,2G#N],2ryy,printed_score,"Pedal G#: Ekier's National Edition prints this landing as the bottom note of the right hand, tied from the right hand's half-note G# in =51; BH engraved it on the left staff for layout. Source line 438"
humdrum_chopin_first_editions_041-1-BH-001,=52,6,2c#,2c# 2G#N],printed_score,"The relocated landing joins the melody's half-note cell (same onset and value), bottom of the right hand; see the spine-1 row. Source line 438"
humdrum_chopin_first_editions_010_1-6-1b-KI-005,=85,1,1GG-;< 1GGG-,2GG-;< 2GGG-,printed_score,"Final bar of the etude, 2/4: the printed edition closes on half notes under fermatas; the transcription wrote whole notes, overflowing the bar by two beats. Source line 1379"
humdrum_chopin_first_editions_010_1-6-1b-KI-005,=85,2,1G-<;>,2G-<;>,printed_score,"Same correction, right hand; shares the line with the left. Source line 1379"
humdrum_chopin_first_editions_025_7-12-1a-BH-008,=11,1,12cJ 2E-),12cJ 12E-),parallel_passage,"Left hand runs triplet eighths throughout; each group is a single bass note then two sixths. The same figure 12AA- / 12A- 12C / 12c 12E- appears in =2 =5 =6 =21 =22 =27 =29, always with 12E-; =11 is the only 2E- in the piece and it makes the cell a mixed-duration chord. Source line 225"
beethoven_piano_sonatas_sonata03-4,=122,1,4.A 4F,4.A 4.F,printed_score,"Rondo episode sequence: =120 and =124 write 4.F 4.A and =126 writes 4.E 4.G; =122 is the only undotted F in the family and makes the cell a mixed-duration chord. Confirmed against the reference edition. Source line 996"
